experiment_group,users,retained_1_users,retained_7_users,retention_1_rate,retention_7_rate,avg_rounds,median_rounds
gate_30,44700,20034.0,8502.0,0.4481879194630872,0.19020134228187918,52.45626398210291,17.0
gate_40,45489,20119.0,8279.0,0.44228274967574577,0.18200004396667327,51.29877552814966,16.0
